309118,обл,Белгородская,р-н,Ивнянский,с,Покровка,ул,Луговая
393550,обл,Тамбовская,р-н,Токаревский,рп,Токаревка,ул,Заводская
346853,обл,Ростовская,р-н,Неклиновский,х,Атамановка,ул,Свободы
601910,обл,Владимирская,р-н,Ковровский,г,Ковров,ул,Черняховского
641219,обл,Курганская,р-н,Юргамышский,с,Петровское,ул,Тупиковая
671436,Респ,Бурятия,р-н,Еравнинский,с,Ульдурга,ул,Сампилона
347661,обл,Ростовская,р-н,Егорлыкский,ст-ца,Егорлыкская,пер,Грицика
161050,обл,Вологодская,р-н,Междуреченский,д,Малая Сторона,ул,Полевая
633152,обл,Новосибирская,р-н,Мошковский,с,Елтышево,ул,Лесная
302538,обл,Орловская,р-н,Орловский,д,Нижняя Лужна,пер,Мирный
309252,обл,Белгородская,р-н,Шебекинский,с,Пенцево,ул,Гагарина
692715,край,Приморский,р-н,Хасанский,пгт,Краскино,с,Лебединный
303985,обл,Орловская,р-н,Сосковский,д,Толмачёво,ул,Луговая
249251,обл,Калужская,р-н,Мещовский,с,Гаврики,ул,Лесная
305539,обл,Белгородская,р-н,Старооскольский,с,Песчанка,ул,Солнечная
601900,обл,Владимирская,р-н,Ковровский,г,Ковров,тер,ГСК 25 проезд Восточный (101)
601900,обл,Владимирская,р-н,Ковровский,г,Ковров,ул,Шмидта
628148,АО,Ханты-Мансийский Автономный округ - Югра,р-н,Березовский,д,Щекурья,ул,Спортивная
676352,обл,Амурская,р-н,Серышевский,городок,Серышево-2,ул,Авиационная
309543,обл,Белгородская,р-н,Старооскольский,с,Озерки,ул,Зеленая
632770,обл,Новосибирская,р-н,Баганский,с,Баган,ул,Октябрьская
346475,обл,Ростовская,р-н,Октябрьский,с,Алексеевка,ул,Средняя
632720,обл,Новосибирская,р-н,Чистоозерный,рп,Чистоозерное,пер,Космический
309170,обл,Белгородская,р-н,Губкинский,с,Бобровы Дворы,ул,Свободная
632792,обл,Новосибирская,р-н,Баганский,д,Петрушино,ул,Набережная
301580,обл,Тульская,р-н,Воловский,п,Ялта,ул,Школьная
366606,Респ,Чеченская,р-н,Ачхой-Мартановский,с,Хамби-Ирзи,ул,Дружбы
385440,Респ,Адыгея,р-н,Шовгеновский,аул,Хакуринохабль,ул,Кожевенная
301588,обл,Тульская,р-н,Воловский,п,Горный,ул,Ветеранов
165771,обл,Архангельская,р-н,Ленский,д,Сафроновка,ул,Огородная
309137,обл,Белгородская,р-н,Ивнянский,с,Березовка,ул,Казиновка
692532,край,Приморский,г,Уссурийск,с,Каймановка,ул,Новая
452453,Респ,Башкортостан,р-н,Бирский,г,Бирск,ул,Воробьева
628148,АО,Ханты-Мансийский Автономный округ - Югра,р-н,Березовский,с,Саранпауль,ул,Семена Васильевича Семяшкина
309266,обл,Белгородская,р-н,Шебекинский,с,Тюрино,ул,Полевая
302525,обл,Орловская,р-н,Орловский,с,Платоново,ул,Ильинская
452450,Респ,Башкортостан,р-н,Бирский,г,Бирск,сад,Прогресс
301131,обл,Тульская,р-н,Ленинский,рп,Ленинский,ул,Чихирева
601900,обл,Владимирская,р-н,Ковровский,г,Ковров,тер,ГСК 4А ул Волго-Донская (66)
393800,обл,Тамбовская,р-н,Староюрьевский,с,Староюрьево,ул,3 Пятилетка
249256,обл,Калужская,р-н,Мещовский,с,Искра,ул,Л.Толстого
671445,Респ,Бурятия,р-н,Еравнинский,п,Озерный,ул,Озерная
601657,обл,Владимирская,р-н,Александровский,д,Афанасьево,ул,Солнечная
185000,Респ,Карелия,г,Петрозаводск,д,Машезеро,ул,Машезерская
692723,край,Приморский,р-н,Хасанский,с,Барабаш,ул,Спортивная
302545,обл,Орловская,р-н,Орловский,д,Кривая Лука,ул,Шаталовская
671430,Респ,Бурятия,р-н,Еравнинский,с,Гонда,ул,Рабочая
302513,обл,Орловская,р-н,Орловский,с,Калинино,ул,Молодежная
601235,обл,Владимирская,р-н,Собинский,с,Черкутино,ул,Советская
641212,обл,Курганская,р-н,Юргамышский,д,Красикова,ул,Левобережная
601966,обл,Владимирская,р-н,Ковровский,п,Мелехово,ул,Нагорная
347111,обл,Ростовская,р-н,Милютинский,х,Новодонецкий,пер,Рыбачий
186877,Респ,Карелия,р-н,Суоярвский,с,Вешкелица,ул,Лесная
393734,обл,Тамбовская,р-н,Мичуринский,с,Глазок,ул,Красный Пруд
186137,Респ,Карелия,р-н,Пряжинский,д,Сямозеро,ул,Сямозерская
671831,Респ,Бурятия,р-н,Кяхтинский,с,Кудара-Сомон,пер,Южный
347137,обл,Ростовская,р-н,Милютинский,х,Степано-Савченский,ул,Поляково-Ивановская
393550,обл,Тамбовская,р-н,Токаревский,рп,Токаревка,ул,Молодежная
